,Year,Winners,Score[2],Runners-up,Venue,Host Country,Location
0,1930,Uruguay,4–2,Argentina,Estadio Centenario,Uruguay,"Montevideo, Uruguay"
1,1934,Italy,2–1 (a.e.t.),Czechoslovakia,Stadio Nazionale PNF,Italy,"Rome, Italy"
2,1938,Italy,4–2,Hungary,Stade Olympique de Colombes,France,"Paris, France"
3,1950,Uruguay,2–1[n 3],Brazil,Maracanã Stadium[n 3],Brazil,"Rio de Janeiro,[n 3] Brazil"
4,1954,West Germany,3–2,Hungary,Wankdorf Stadium,Switzerland,"Bern, Switzerland"
5,1958,Brazil,5–2,Sweden,Råsunda Stadium,Sweden,"Solna, Sweden"
6,1962,Brazil,3–1,Czechoslovakia,Estadio Nacional,Chile,"Santiago, Chile"
7,1966,England,4–2 (a.e.t.),West Germany,Wembley Stadium,England,"London, England"
8,1970,Brazil,4–1,Italy,Estadio Azteca,Mexico,"Mexico City, Mexico"
9,1974,West Germany,2–1,Netherlands,Olympiastadion,West Germany,"Munich, West Germany"
10,1978,Argentina,3–1 (a.e.t.),Netherlands,Estadio Monumental,Argentina,"Buenos Aires, Argentina"
11,1982,Italy,3–1,West Germany,Santiago Bernabéu,Spain,"Madrid, Spain"
12,1986,Argentina,3–2,West Germany,Estadio Azteca,Mexico,"Mexico City, Mexico"
13,1990,West Germany,1–0,Argentina,Stadio Olimpico,Italy,"Rome, Italy"
14,1994,Brazil,0–0 (a.e.t.)(3–2 pen.),Italy,Rose Bowl,United States,"Pasadena, United States"
15,1998,France,3–0,Brazil,Stade de France,France,"Saint-Denis, France"
16,2002,Brazil,2–0,Germany,International Stadium,"South Korea , Japan","Yokohama, Japan"
17,2006,Italy,1–1 (a.e.t.)(5–3 pen.),France,Olympiastadion,Germany,"Berlin, Germany"
18,2010,Spain,1–0 (a.e.t.),Netherlands,Soccer City,South Africa,"Johannesburg, South Africa"
19,2014,Germany,1–0 (a.e.t.),Argentina,Maracanã Stadium,Brazil,"Rio de Janeiro, Brazil"
20,2018,France,4–2,Croatia,Luzhniki Stadium,Russia,"Moscow, Russia"
23,2022,Argentina,v,France,Lusail Stadium,Qatar,"Lusail, Qatar"
24,2026,,,,TBA,"Mexico , Canada , United States",TBA
